bench,batch,avg_duration(ms),SM_util(%),l2_util(%),mem_util(%),achieved occupancy,theoretical occupancy
bert,4,7.106932367149757,13.920959021435845,20.976145900954016,27.473832958905895,14.874361054559902,50.32735802628586,
bert,12,13.457342995169085,24.520521454443614,22.367919656671447,26.0515991664483,20.91917007398579,35.11452724120225,
bert,2,7.143381642512072,11.123674053885908,16.08672447723646,22.694212033705757,11.767263978683701,48.720597526172035,
bert,20,17.07748633879782,30.623261012165685,32.0881552742562,36.00601069378402,21.549943667244754,31.659828825859627,
bert,24,21.010960451977393,27.999685488338073,30.80886436726595,34.746114672460436,20.038520815070942,27.610492277369378,
bert,28,24.830197740113007,28.96894385481501,26.969849816095508,31.03012491623898,19.71698144117843,26.141503306639777,
bert,16,13.741666666666656,26.17946098206205,24.91499106177658,29.8244961285276,24.954175459874683,38.07443726105416,
bert,8,9.978961352657008,19.106739008881014,21.901565999966117,26.74631623536476,20.000659842325277,41.61144853060421,
bert,32,25.778361581920905,29.246776256528378,28.12176311757987,32.82371401582811,20.68337523039732,27.71329751444848,
bert,1,7.181706666666666,10.452425161707156,13.564875238569105,22.00567660797434,11.469455022761535,46.29935855544095,
densenet161,2,15.300688956433657,25.937981476355716,18.051620318929256,28.720280066323287,33.446149328092396,50.94967846174418,
densenet161,1,13.593169734151333,22.40135470418501,11.843399096743518,20.771258398449817,29.70770733226419,49.60885737453847,
densenet161,8,26.943392504930948,30.485288470970627,30.149300084917623,49.39377642877545,43.29620095825123,53.42015792844967,
densenet161,28,72.72982528263108,34.14462003710247,39.13550378486207,66.1330678847447,48.32272537621111,55.106013025724785,
densenet161,20,52.92331622176582,35.54772810259164,37.995851050229454,63.6331804996227,48.532823794297,56.20712583450047,
densenet161,16,45.13627310061595,34.403156735261916,35.93813178344481,59.80064516239104,46.983801943146,55.09464550085954,
densenet161,24,64.6372867420348,33.48928514369391,37.89805007085169,63.8756486699121,47.20534614215339,54.19667209766323,
densenet161,32,80.82024665981484,34.66530497684967,39.71298062898271,67.94577050564563,49.15561553114854,55.7968998424428,
densenet161,4,18.581294466403147,27.121072820162695,24.094467963925222,37.73744340514161,38.48675490726305,51.499147225603394,
densenet161,12,35.01392504930959,32.200032018819314,34.291955288569376,56.628158906628386,45.87356531016694,54.78793280047499,
googlenet,16,25.062631578947364,36.55401210651214,31.62031866219366,48.75659509597012,38.566541440916474,51.88769254394258,
googlenet,24,35.3312786885246,37.13268221907119,32.09137197894589,51.579841129023265,39.07708352975675,50.13984413569367,
googlenet,32,43.45003322259137,39.41563412664795,34.187447390594905,56.667710005612264,42.07438496581399,52.261697378743364,
googlenet,20,30.09580000000002,38.02491019787916,33.108849241422384,51.57258114642796,39.04352322693975,51.385026027994996,
googlenet,4,10.74081570996979,25.20675285004261,21.09797438126019,29.246483948908793,32.51033789846449,54.26956241684738,
googlenet,2,9.406472491909387,18.650225314800792,14.387737700405955,19.415377107273073,23.706327908896974,55.19413558797218,
googlenet,8,15.080458715596318,30.66608323143345,27.616141633764705,40.47833715584703,37.87639716424239,54.21848831243634,
googlenet,1,8.519554140127388,13.457051929992446,9.20723554655084,13.055117601321804,20.758030233931677,55.0581326958589,
googlenet,12,21.3015894039735,34.44229020935542,29.935809316843574,44.83763312441319,36.41950891330439,52.048492821479044,
googlenet,28,38.77843137254902,38.41658880686322,33.340999258397794,54.70429828420215,41.301794946992295,52.372409920614864,
lenet,28,6.098333333333333,9.912807688803863,6.494762685615378,11.117728887674232,12.63964835565273,52.730611278127,
lenet,1,5.615294117647058,0.6659490886235074,1.3752817934213284,1.4988351141839515,6.492893358474756,51.133576367064755,
lenet,32,6.381666666666667,9.05745364324889,5.689906851223121,11.089810220248975,11.126151301471229,50.815406981805516,
lenet,4,5.855882352941176,1.7528297338021097,2.228997488699146,2.8437559015570066,6.572232044198896,51.85393972877951,
lenet,24,6.336470588235294,8.584248978834015,5.930656331229115,9.566731340512439,11.439319532120313,54.324716858522116,
lenet,20,6.2029411764705875,7.4266827880512105,5.27664011379801,8.360198198198201,10.241222380275008,54.13404646752016,
